"Localidade";"Ano";"Densidade Demográfica - População Total (Habitante)";"Empregos - Total (Habitante)"
"Abranches";"2010";"13.189";"..."
"Água Verde";"2010";"51.425";"..."
"Ahú";"2010";"11.506";"..."
"Alto Boqueirão";"2010";"53.671";"..."
"Alto da Glória";"2010";"5.548";"..."
"Alto da Rua XV";"2010";"8.531";"..."
"Atuba";"2010";"15.935";"..."
"Augusta";"2010";"6.598";"..."
"Bacacheri";"2010";"23.734";"..."
"Bairro Alto";"2010";"46.106";"..."
"Barreirinha";"2010";"18.017";"..."
"Batel";"2010";"10.878";"..."
"Bigorrilho";"2010";"28.336";"..."
"Boa Vista";"2010";"31.052";"..."
"Bom Retiro";"2010";"5.156";"..."
"Boqueirão";"2010";"73.178";"..."
"Butiatuvinha";"2010";"12.876";"..."
"Cabral";"2010";"13.060";"..."
"Cachoeira";"2010";"9.314";"..."
"Cajuru";"2010";"96.200";"..."
"Campina do Siqueira";"2010";"7.326";"..."
"Campo Comprido";"2010";"28.969";"..."
"Campo de Santana";"2010";"27.158";"..."
"Capão da Imbuia";"2010";"36.065";"..."
"Capão Raso";"2010";"20.473";"..."
"Cascatinha";"2010";"2.161";"..."
"Caximba";"2010";"2.522";"..."
"Centro";"2010";"37.283";"..."
"Centro Cívico";"2010";"4.783";"..."
"Cidade Industrial de Curitiba";"2010";"172.669";"..."
"Cristo Rei";"2010";"13.795";"..."
"Fanny";"2010";"8.415";"..."
"Fazendinha";"2010";"28.074";"..."
"Ganchinho";"2010";"11.178";"..."
"Guabirotuba";"2010";"11.461";"..."
"Guaí­ra";"2010";"14.904";"..."
"Hauer";"2010";"13.315";"..."
"Hugo Lange";"2010";"3.392";"..."
"Jardim Botânico";"2010";"6.172";"..."
"Jardim das Américas";"2010";"15.313";"..."
"Jardim Social";"2010";"5.698";"..."
"Juvevê";"2010";"11.582";"..."
"Lamenha Pequena";"2010";"1.056";"..."
"Lindóia";"2010";"8.584";"..."
"Mercês";"2010";"12.907";"..."
"Mossunguê";"2010";"9.664";"..."
"Novo Mundo";"2010";"44.063";"..."
"Orleans";"2010";"8.105";"..."
"Parolin";"2010";"11.554";"..."
"Pilarzinho";"2010";"28.480";"..."
"Pinheirinho";"2010";"50.401";"..."
"Portão";"2010";"42.662";"..."
"Prado Velho";"2010";"6.077";"..."
"Rebouças";"2010";"14.888";"..."
"Riviera";"2010";"289";"..."
"Santa Cândida";"2010";"32.808";"..."
"Santa Felicidade";"2010";"31.572";"..."
"Santa Quitéria";"2010";"12.075";"..."
"Santo Inácio";"2010";"6.494";"..."
"São Braz";"2010";"23.559";"..."
"São Francisco";"2010";"6.130";"..."
"São João";"2010";"3.253";"..."
"São Lourenço";"2010";"6.276";"..."
"São Miguel";"2010";"4.773";"..."
"Seminário";"2010";"6.851";"..."
"Sí­tio Cercado";"2010";"115.525";"..."
"Taboão";"2010";"3.396";"..."
"Tarumã";"2010";"8.072";"..."
"Tatuquara";"2010";"52.279";"..."
"Tingui";"2010";"12.319";"..."
"Uberaba";"2010";"72.056";"..."
"Umbará";"2010";"18.730";"..."
"Vila Izabel";"2010";"11.610";"..."
"Vista Alegre";"2010";"11.199";"..."
"Xaxim";"2010";"57.182";"..."
<br/><br/>